0,0.125
1,0.375
2,0.625
3,0.875
4,1.125
5,1.375
6,1.625
7,1.875
8,2.125
9,2.375
10,2.625
11,2.875
12,3.125
13,3.375
14,3.625
15,3.875
16,4.125
17,4.375
18,4.625
19,4.875
20,5.125
21,5.375
22,5.625
23,5.875
24,6.125
25,6.375
26,6.625
27,6.875
28,7.125
29,7.375
30,7.625
31,7.875
32,8.125
33,8.375
34,8.625
35,8.875
36,9.125
37,9.375
38,9.625
39,9.875
40,10.125
41,10.375
42,10.625
43,10.875
44,11.125
45,11.375
46,11.625
47,11.875
48,12.125
49,12.375
50,12.625
51,12.875
52,13.125
53,13.375
54,13.625
55,13.875
56,14.125
57,14.375
58,14.625
59,14.875
60,15.125
61,15.375
62,15.625
63,15.875
64,16.125
65,16.375
66,16.625
67,16.875
68,17.125
69,17.375
70,17.625
71,17.875
72,18.125
73,18.375
74,18.625
75,18.875
76,19.125
77,19.375
78,19.625
79,19.875
80,20.125
81,20.375
82,20.625
83,20.875
84,21.125
85,21.375
86,21.625
87,21.875
88,22.125
89,22.375
90,22.625
91,22.875
92,23.125
93,23.375
94,23.625
95,23.875
96,24.125
97,24.375
98,24.625
99,24.875
100,25.125
101,25.375
102,25.625
103,25.875
104,26.125
105,26.375
106,26.625
107,26.875
108,27.125
109,27.375
110,27.625
111,27.875
112,28.125
113,28.375
114,28.625
115,28.875
116,29.125
117,29.375
118,29.625
119,29.875
120,30.125
121,30.375
122,30.625
123,30.875
124,31.125
125,31.375
126,31.625
127,31.875
128,32.125
129,32.375
130,32.625
131,32.875
132,33.125
133,33.375
134,33.625
135,33.875
136,34.125
137,34.375
138,34.625
139,34.875
140,35.125
141,35.375
142,35.625
143,35.875
144,36.125
145,36.375
146,36.625
147,36.875
148,37.125
149,37.375
150,37.625
151,37.875
152,38.125
153,38.375
154,38.625
155,38.875
156,39.125
157,39.375
158,39.625
159,39.875
160,40.125
161,40.375
162,40.625
163,40.875
164,41.125
165,41.375
166,41.625
167,41.875
168,42.125
169,42.375
170,42.625
171,42.875
172,43.125
173,43.375
174,43.625
175,43.875
176,44.125
177,44.375
178,44.625
179,44.875
180,45.125
181,45.375
182,45.625
183,45.875
184,46.125
185,46.375
186,46.625
187,46.875
188,47.125
189,47.375
190,47.625
191,47.875
192,48.125
193,48.375
194,48.625
195,48.875
196,49.125
197,49.375
198,49.625
199,49.875
200,50.125
201,50.375
202,50.625
203,50.875
204,51.125
205,51.375
206,51.625
207,51.875
208,52.125
209,52.375
210,52.625
211,52.875
212,53.125
213,53.375
214,53.625
215,53.875
216,54.125
217,54.375
218,54.625
219,54.875
220,55.125
221,55.375
222,55.625
223,55.875
224,56.125
225,56.375
226,56.625
227,56.875
228,57.125
229,57.375
230,57.625
231,57.875
232,58.125
233,58.375
234,58.625
235,58.875
236,59.125
237,59.375
238,59.625
239,59.875
240,60.125
241,60.375
242,60.625
243,60.875
244,61.125
245,61.375
246,61.625
247,61.875
248,62.125
249,62.375
250,62.625
251,62.875
252,63.125
253,63.375
254,63.625
255,63.875
256,64.125
257,64.375
258,64.625
259,64.875
260,65.125
261,65.375
262,65.625
263,65.875
264,66.125
265,66.375
266,66.625
267,66.875
268,67.125
269,67.375
270,67.625
271,67.875
272,68.125
273,68.375
274,68.625
275,68.875
276,69.125
277,69.375
278,69.625
279,69.875
280,70.125
281,70.375
282,70.625
283,70.875
284,71.125
285,71.375
286,71.625
287,71.875
288,72.125
289,72.375
290,72.625
291,72.875
292,73.125
293,73.375
294,73.625
295,73.875
296,74.125
297,74.375
298,74.625
299,74.875
300,75.125
301,75.375
302,75.625
303,75.875
304,76.125
305,76.375
306,76.625
307,76.875
308,77.125
309,77.375
310,77.625
311,77.875
312,78.125
313,78.375
314,78.625
315,78.875
316,79.125
317,79.375
318,79.625
319,79.875
320,80.125
321,80.375
322,80.625
323,80.875
324,81.125
325,81.375
326,81.625
327,81.875
328,82.125
329,82.375
330,82.625
331,82.875
332,83.125
333,83.375
334,83.625
335,83.875
336,84.125
337,84.375
338,84.625
339,84.875
340,85.125
341,85.375
342,85.625
343,85.875
344,86.125
345,86.375
346,86.625
347,86.875
348,87.125
349,87.375
350,87.625
351,87.875
352,88.125
353,88.375
354,88.625
355,88.875
356,89.125
357,89.375
358,89.625
359,89.875
360,90.125
361,90.375
362,90.625
363,90.875
364,91.125
365,91.375
366,91.625
367,91.875
368,92.125
369,92.375
370,92.625
371,92.875
372,93.125
373,93.375
374,93.625
375,93.875
376,94.125
377,94.375
378,94.625
379,94.875
380,95.125
381,95.375
382,95.625
383,95.875
384,96.125
385,96.375
386,96.625
387,96.875
388,97.125
389,97.375
390,97.625
391,97.875
392,98.125
393,98.375
394,98.625
395,98.875
396,99.125
397,99.375
398,99.625
399,99.875
400,100.125
401,100.375
402,100.625
403,100.875
404,101.125
405,101.375
406,101.625
407,101.875
408,102.125
409,102.375
410,102.625
411,102.875
412,103.125
413,103.375
414,103.625
415,103.875
416,104.125
417,104.375
418,104.625
419,104.875
420,105.125
421,105.375
422,105.625
423,105.875
424,106.125
425,106.375
426,106.625
427,106.875
428,107.125
429,107.375
430,107.625
431,107.875
432,108.125
433,108.375
434,108.625
435,108.875
436,109.125
437,109.375
438,109.625
439,109.875
440,110.125
441,110.375
442,110.625
443,110.875
444,111.125
445,111.375
446,111.625
447,111.875
448,112.125
449,112.375
450,112.625
451,112.875
452,113.125
453,113.375
454,113.625
455,113.875
456,114.125
457,114.375
458,114.625
459,114.875
460,115.125
461,115.375
462,115.625
463,115.875
464,116.125
465,116.375
